accuracy,loss,val_accuracy,val_loss
0.3603714406490326,2.0848312377929688,0.4605333209037781,1.5273267030715942
0.48594287037849426,1.4188342094421387,0.48946666717529297,1.5681869983673096
0.5396000146865845,1.2728360891342163,0.5678666830062866,1.2455016374588013
0.5839142799377441,1.1600613594055176,0.6028000116348267,1.1565935611724854
0.6127714514732361,1.089001178741455,0.6155999898910522,1.1291513442993164
0.6361142992973328,1.0308456420898438,0.6800000071525574,0.9570717811584473
0.6539142727851868,0.9846551418304443,0.6826666593551636,0.938105583190918
0.668485701084137,0.9359523057937622,0.6770666837692261,0.9651098847389221
0.6814857125282288,0.9033335447311401,0.6773333549499512,0.9589475989341736
0.6971142888069153,0.8741052746772766,0.7125333547592163,0.8402311205863953
0.7056000232696533,0.8402788043022156,0.7145333290100098,0.8508167266845703
0.7158856987953186,0.8132945895195007,0.7089333534240723,0.8453956842422485
0.7201714515686035,0.8032750487327576,0.7098666429519653,0.8487063050270081
0.7302857041358948,0.7771356105804443,0.7489333152770996,0.7307149767875671
0.7368857264518738,0.7599830627441406,0.7530666589736938,0.7412800788879395
0.7444857358932495,0.7343448996543884,0.7716000080108643,0.6602784991264343
0.7495999932289124,0.7231564521789551,0.7767999768257141,0.6629735231399536
0.7516571283340454,0.7098010778427124,0.7753333449363708,0.6604079008102417
0.7584571242332458,0.7022355794906616,0.7773333191871643,0.6619428396224976
0.7633428573608398,0.6855988502502441,0.7896000146865845,0.6168029308319092
0.7682856917381287,0.6746056079864502,0.78493332862854,0.6302459239959717
0.7712000012397766,0.6602026224136353,0.7994666695594788,0.6158934235572815
0.7729714512825012,0.657156229019165,0.78493332862854,0.6668882966041565
0.7753142714500427,0.6508634090423584,0.7835999727249146,0.6647222638130188
0.7801142930984497,0.6335245370864868,0.7498666644096375,0.7485130429267883
0.7839999794960022,0.6248828768730164,0.7570666670799255,0.7458202838897705
0.7849714159965515,0.6192939877510071,0.8010666370391846,0.6059668064117432
0.7886571288108826,0.6063037514686584,0.8029333353042603,0.6000162363052368
0.7897428274154663,0.6091760993003845,0.7868000268936157,0.6584314703941345
0.7925142645835876,0.593086838722229,0.7770666480064392,0.6715012192726135
0.7959428429603577,0.590344250202179,0.8037333488464355,0.601377010345459
0.7963142991065979,0.5831114053726196,0.7979999780654907,0.5997640490531921
0.802314281463623,0.5746164917945862,0.8047999739646912,0.5977232456207275
0.8051714301109314,0.5640190243721008,0.8102666735649109,0.5871440172195435
0.8041999936103821,0.5661085247993469,0.8040000200271606,0.6049908399581909
0.8090857267379761,0.5498827695846558,0.7961333394050598,0.6199811100959778
0.8090857267379761,0.5519402027130127,0.8100000023841858,0.5769320130348206
0.8122000098228455,0.5458289980888367,0.807200014591217,0.5761511921882629
0.8125428557395935,0.5397257208824158,0.8004000186920166,0.6105898022651672
0.8136285543441772,0.5369588136672974,0.8262666463851929,0.5239199995994568
0.8177428841590881,0.5275578498840332,0.8306666612625122,0.5209475159645081
0.8156856894493103,0.5257377624511719,0.8140000104904175,0.5809495449066162
0.8178285956382751,0.5196055173873901,0.8198666572570801,0.5606944561004639
0.8220857381820679,0.5128458738327026,0.8108000159263611,0.584300696849823
0.8208571672439575,0.5124963521957397,0.8223999738693237,0.5429725646972656
0.8211714029312134,0.5119884610176086,0.8249333500862122,0.532107412815094
